box_scores,exhibition,conference,costSeason,division,season,date,away,home,home_score,away_score,notes,month,status,game_id,data-recap
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241116_yo0d.xml,0,1,0,0,2024-25,2024-11-16,Brandon,Manitoba,3,0, ,November 2024,Final,20241116_yo0d,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241122_f0ko.xml,0,1,0,0,2024-25,2024-11-22,Brandon,Regina,1,3, ,November 2024,Final,20241122_f0ko,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241123_ibrc.xml,0,1,1,0,2024-25,2024-11-23,Brandon,Regina,3,2, ,November 2024,Final - OT,20241123_ibrc,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241129_7yex.xml,0,1,0,0,2024-25,2024-11-29,Alberta,Brandon,0,3, ,November 2024,Final,20241129_7yex,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241130_nvs4.xml,0,1,0,0,2024-25,2024-11-30,Alberta,Brandon,0,3, ,November 2024,Final,20241130_nvs4,NA
NA,0,1,0,0,2024-25,NA,Brandon,Mount Royal,NA,NA,NA,NA 2025,11:00 AM MST,NA,NA
NA,0,1,0,0,2024-25,NA,Brandon,Mount Royal,NA,NA,NA,January 2025,8:00 PM MST,NA,NA
NA,0,1,0,0,2024-25,NA,UFV,Brandon,NA,NA,NA,January 2025,7:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,UFV,Brandon,NA,NA,NA,January 2025,6:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Calgary,Brandon,NA,NA,NA,January 2025,7:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Calgary,Brandon,NA,NA,NA,February 2025,6:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Winnipeg,Brandon,NA,NA,NA,February 2025,7:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Winnipeg,Brandon,NA,NA,NA,February 2025,6:45 PM CST,NA,NA
NA,0,1,0,0,2024-25,NA,Brandon,Thompson Rivers,NA,NA,NA,February 2025,7:15 PM PST,NA,NA
NA,0,1,0,0,2024-25,NA,Brandon,Thompson Rivers,NA,NA,NA,February 2025,4:45 PM PST,NA,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241010_ye3a.xml,1,0,0,0,2024-25,2024-10-10,Brock,McMaster,3,2, ,October 2024,Final,20241010_ye3a,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241011_44af.xml,1,0,0,0,2024-25,2024-10-11,Toronto Metropolitan,Brock,3,1, ,October 2024,Final,20241011_44af,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241012_1v9f.xml,1,0,0,0,2024-25,2024-10-12,Waterloo,Brock,3,0, ,October 2024,Final,20241012_1v9f,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241101_ykql.xml,0,1,0,0,2024-25,2024-11-01,Queen's,Brock,3,2, ,November 2024,Final,20241101_ykql,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241102_qh4g.xml,0,1,0,0,2024-25,2024-11-02,Queen's,Brock,1,3, ,November 2024,Final,20241102_qh4g,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241108_40qe.xml,0,1,0,0,2024-25,2024-11-08,Brock,Toronto,3,1, ,November 2024,Final,20241108_40qe,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241109_88qe.xml,0,1,0,0,2024-25,2024-11-09,Brock,Toronto,2,3, ,November 2024,Final,20241109_88qe,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241115_k8qa.xml,0,1,0,0,2024-25,2024-11-15,Brock,Guelph,1,3, ,November 2024,Final,20241115_k8qa,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241116_ue3s.xml,0,1,0,0,2024-25,2024-11-16,Brock,Guelph,0,3, ,November 2024,Final,20241116_ue3s,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241122_mh2e.xml,0,1,0,0,2024-25,2024-11-22,McMaster,Brock,3,1, ,November 2024,Final,20241122_mh2e,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241123_svsk.xml,0,1,0,0,2024-25,2024-11-23,McMaster,Brock,3,0, ,November 2024,Final,20241123_svsk,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241129_gy7u.xml,0,1,0,0,2024-25,2024-11-29,Brock,Ottawa,0,3,  ,November 2024,Final,20241129_gy7u,NA
https://en.usports.ca/sports/wvball/2024-25/boxscores/20241130_sn7x.xml,0,1,0,0,2024-25,2024-11-30,Brock,Ottawa,2,3,  ,November 2024,Final,20241130_sn7x,NA
NA,0,1,0,0,2024-25,NA,Windsor,Brock,NA,NA,NA,NA 2025,2:00 PM EST,NA,NA
